group	chao	shannon	cow	type	lact_period	eff_inoc	donor
HE_I_3_10	2896.733591	5.52905	HE	I	.	HE	Y
HE_I_3_13	2389.50463	5.992351	HE	I	.	HE	Y
HE_I_3_15	2272.345455	5.85843	HE	I	.	HE	Y
HE_I_3_17	4174.573034	6.189526	HE	I	.	HE	Y
HE_I_3_2	2082.663415	5.934577	HE	I	.	HE	Y
HE_I_3_20	2272.38	6.019345	HE	I	.	HE	Y
HE_I_3_24	2470.89	5.959564	HE	I	.	HE	Y
HE_I_3_27	1803.512438	5.4432	HE	I	.	HE	Y
HE_I_3_29	2941.567308	5.723697	HE	I	.	HE	Y
HE_I_3_3	5743.561728	5.800194	HE	I	.	HE	Y
HE_I_3_31	1949.678392	5.672613	HE	I	.	HE	Y
HE_I_3_6	2347.277978	5.912827	HE	I	.	HE	Y
HE_I_4_10	2106.530172	5.91103	HE	I	.	HE	Y
HE_I_4_12	1785.746032	5.455841	HE	I	.	HE	Y
HE_I_4_17	2001.439716	5.748054	HE	I	.	HE	Y
HE_I_4_21	2656.513274	5.954295	HE	I	.	HE	Y
HE_I_4_24	3946.921348	5.926243	HE	I	.	HE	Y
HE_I_4_26	2079.364583	5.498125	HE	I	.	HE	Y
HE_I_4_28	3567.743494	5.795318	HE	I	.	HE	Y
HE_I_4_3	2152.034602	5.985621	HE	I	.	HE	Y
HE_I_4_7	2580.707317	5.91096	HE	I	.	HE	Y
HE_I_5_01	2171.014925	5.912889	HE	I	.	HE	Y
HE_I_5_10	2475.844444	5.585242	HE	I	.	HE	Y
HE_I_5_12	2501.14527	5.961288	HE	I	.	HE	Y
HE_I_5_15	4921.767956	5.854601	HE	I	.	HE	Y
HE_I_5_19	1966.214286	5.701771	HE	I	.	HE	Y
HE_I_5_22	1853.350711	5.817855	HE	I	.	HE	Y
HE_I_5_26	2213.755459	5.798384	HE	I	.	HE	Y
HE_I_5_5	2272.542017	5.986451	HE	I	.	HE	Y
HE_I_5_8	2599.744444	6.047669	HE	I	.	HE	Y
HE_I_6_16	4930.721311	5.8042	HE	I	.	HE	Y
HE_I_6_19	2028.701107	5.905185	HE	I	.	HE	Y
